;div;h1;h2;h3;h4;h5;h6;img;form;fieldset;legend;label;input;labelsAssociados;script;article;section;nav;footer;video;audio;object;applet;table;tr;th;td;caption;style;links;ul;ol;li;dl;dt;dd;alt;roles.alert;roles.alertdialog;roles.application;roles.article;roles.banner;roles.button;roles.checkbox;roles.columnheader;roles.combobox;roles.complementary;roles.contentinfo;roles.definition;roles.dialog;roles.directory;roles.document;roles.form;roles.grid;roles.gridcell;roles.group;roles.heading;roles.img;roles.link;roles.listbox;roles.listitem;roles.log;roles.main;roles.marquee;roles.math;roles.menu;roles.menubar;roles.menuitem;roles.menuitemcheckbox;roles.menuitemradio;roles.navigation;roles.note;roles.option;roles.presentation;roles.progressbar;roles.radio;roles.radiogroup;roles.region;roles.row;roles.rowgroup;roles.rowheader;roles.scrollbar;roles.search;roles.separator;roles.slider;roles.spinbutton;roles.status;roles.tab;roles.tablist;roles.tabpanel;roles.textbox;roles.timer;roles.toolbar;roles.tooltip;roles.tree;roles.treegrid;roles.treeitem;arialabel;arialabelledby;ariadescribedby
;20;2;0;0;0;0;0;4;2;0;0;2;11;2;8;0;0;0;0;0;0;0;0;3;6;0;16;0;1;0;3;0;12;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;19;2;1;0;0;0;0;4;2;0;0;2;13;2;10;0;0;0;0;0;0;0;0;4;7;0;19;0;1;0;3;0;12;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;22;2;1;0;2;0;0;4;2;0;0;2;10;2;9;0;0;0;0;0;0;0;0;3;6;0;16;0;1;0;3;0;13;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;33;0;0;0;0;0;0;6;2;0;0;2;10;2;14;0;0;0;0;0;0;0;0;4;7;0;18;0;1;0;2;0;11;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;35;0;0;0;0;0;0;6;3;0;0;3;14;3;27;0;0;0;0;0;0;0;0;4;7;0;18;0;1;0;2;0;8;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;77;0;4;1;0;0;0;6;4;0;0;4;24;4;15;0;0;0;0;0;0;0;0;4;11;0;26;0;1;0;2;0;11;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;76;0;2;0;0;0;0;5;3;0;0;2;24;2;15;0;0;0;0;0;0;0;0;5;14;0;34;0;1;0;2;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;89;0;1;0;0;0;0;8;4;0;0;2;31;2;16;0;0;0;0;0;0;0;0;5;14;0;34;0;1;0;4;0;12;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;81;0;1;0;0;0;0;9;4;0;0;2;33;2;13;0;0;0;0;0;0;0;0;5;16;0;37;0;1;0;5;0;24;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;76;0;1;0;0;0;0;9;4;0;0;7;33;7;13;0;0;0;0;0;0;0;0;5;17;0;38;0;1;0;3;0;12;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;76;0;1;0;0;0;0;9;4;0;0;7;39;7;14;0;0;0;0;0;0;0;0;5;18;0;40;0;1;0;1;0;11;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;76;0;1;0;0;0;0;10;3;0;0;12;33;12;18;0;0;0;0;0;0;0;0;5;17;0;39;0;1;0;1;0;11;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
